Date,Temperature(F)
2019-02-25 16:54:21,62.6*F
2019-02-25 16:54:23,62.6*F
2019-02-25 16:54:26,62.6*F
2019-02-25 16:54:30,62.6*F
2019-02-25 16:54:33,62.6*F
2019-02-25 16:54:35,62.6*F
2019-02-25 16:55:04,62.6*F
2019-02-25 16:55:08,62.6*F
2019-02-25 16:55:15,62.6*F
2019-02-25 16:55:17,64.4*F
2019-02-25 20:47:05,66.2*F
2019-02-25 20:47:07,62.6*F
2019-02-25 20:47:10,64.4*F
2019-02-25 20:47:12,64.4*F
2019-02-25 20:47:15,64.4*F
2019-02-25 20:47:20,64.4*F
2019-02-25 20:47:22,64.4*F
2019-02-25 20:47:25,64.4*F
2019-02-25 20:47:27,64.4*F
2019-02-25 21:51:16,64.4*F
2019-02-25 22:06:07,62.6*F
2019-02-25 22:06:11,62.6*F
2019-02-25 22:06:15,62.6*F
2019-02-25 22:06:19,62.6*F
2019-02-25 22:06:23,62.6*F
2019-02-25 22:06:27,62.6*F
2019-02-25 22:06:31,62.6*F
2019-02-25 22:06:35,62.6*F
2019-02-25 22:16:42,62.6*F
2019-02-25 22:16:46,62.6*F
2019-02-25 22:16:50,62.6*F
2019-02-25 22:16:54,62.6*F
2019-02-25 22:16:58,62.6*F
2019-02-25 22:19:26,62.6*F
2019-02-25 22:19:29,62.6*F
2019-02-25 22:19:32,62.6*F
2019-02-25 22:19:35,62.6*F
2019-02-25 22:19:38,62.6*F
2019-02-25 22:19:41,62.6*F
2019-02-25 22:19:44,62.6*F
2019-02-25 22:19:47,62.6*F
2019-02-25 22:19:50,62.6*F
2019-02-25 22:19:53,62.6*F
2019-02-25 22:19:56,62.6*F
2019-02-25 22:19:59,62.6*F
2019-02-25 22:23:05,62.6*F
2019-02-25 22:23:08,62.6*F
2019-02-25 22:23:11,62.6*F
2019-02-25 22:23:14,62.6*F
2019-02-25 22:23:17,62.6*F
2019-02-25 22:23:20,62.6*F
2019-02-25 22:30:02,62.6*F
2019-02-25 22:30:05,62.6*F
2019-02-25 22:30:07,62.6*F
2019-02-25 22:30:13,62.6*F
2019-02-25 22:30:16,62.6*F
2019-02-25 22:30:19,62.6*F
2019-02-25 22:30:22,62.6*F
2019-02-25 22:30:25,62.6*F
2019-02-25 22:30:28,62.6*F
2019-03-18 16:16:51,66.2*F
2019-03-18 16:18:43,64.4*F
2019-03-18 16:19:45,64.4*F
2019-03-18 16:20:47,64.4*F
